ROL_SII;NOMBRE;COMUNA;REGION;LAT;LON
"1822-35";"RAMON BARROS LUCO 1390 CON CALLE CUATRO NORTE COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59149874923101";"-71.61257076184907"
"8327-15";"LOS CLAVELES 554 BLOCK 2 DEPARTAMENTO 43 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.61593442992732";"-71.61856601651438"
"6815-8";"CAMILO HENRRIQUEZ NUMERO 230 EX NUMERO 17 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.576269273418745";"-71.61201557722553"
"1530-1";"IGNACIO VICUNA COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.5890190525641";"-71.60934338229191"
"8018-28";"SAN PEDRO SIN NUMERO MANZANA C SITIO 5 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.60792283390926";"-71.6103150639993"
"3017-1";"RAMON BARROS LUCO 1945 MANZANA 25 LOTE 1 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.597350020271286";"-71.6138919756034"
"59-2";"SEGUNDO PLAZA SIN NUMERO COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.576596027688545";"-71.60717965003566"
"8220-18";"CHILE 170 MANZANA 100 SITIO 868 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.611171385365004";"-71.60842723161447"
"3223-18";"LUIS ALBERTO ARAYA 2048 LOTE 28 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59822600779302";"-71.61258748997984"
"1520-11";"ANGAMOS 1194 LOTE 5-B COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.58933789652657";"-71.61420766810055"
"9041-4";"ANTONIO NUNEZ FONCECA EX CAMINO SAN ANTONIO CARTAGENA LOTE 2-A COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.56771443257475";"-71.62348236633916"
"3220-15";"CARABINEROS DE CHILE 76 LOTE 1A Y 1-B MANZANA 28 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59815855334737";"-71.61483709724888"
"2623-1";"EL MOLO SECTOR BARRANCAS 70 MANZANA 19 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59567978884367";"-71.61201261600182"
"9039-28";"5 SIN NUMERO MANZANA D SITIO 3 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.56999397353493";"-71.62249925334906"
"2222-8";"RAMON BARROS LUCO 1598 MANZANA 12 SITIO 8 LOTE 1 Y 2 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59355017148904";"-71.61277397066401"
"2823-16";"PATRIA 1831 MANZANA 23 LOTE 2 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59650568875894";"-71.6113855532927"
"3020-8";"JUAN LUIS SANFUENTES 1987 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.5977201221695";"-71.61448268311007"
"2823-21";"LA MARINA SECTOR BARRANCAS 1870 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.596547464325724";"-71.61194517239917"
"2222-10";"DOS NORTE 68 LOTE 2 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59358274775618";"-71.61249570210043"
"29-15";"COLON 593 MANZANA 24 SITIO MITAD 12 COMUNA QUINTERO";"QUINTERO";"05- REGION DE VALPARAÍSO";"-32.77184274349057";"-71.53580308171215"
"110-21";"LUIS ORIONE 626 LOTE C COMUNA QUINTERO";"QUINTERO";"05- REGION DE VALPARAÍSO";"-32.78655019464754";"-71.5323792834603"
"213-2";"LITORAL DE LOS POETAS SIN NUMERO COMUNA EL TABO";"EL TABO";"05- REGION DE VALPARAÍSO";"-33.453370108891605";"-71.67331980933429"
"206-13";"IGNACIO CARRERA PINTO 764 MANZANA 21 LOTE 13 COMUNA QUINTERO";"QUINTERO";"05- REGION DE VALPARAÍSO";"-32.793304664577235";"-71.53378888799556"
"39-29";"LUIS COUSINO 896 LOTE 2 COMUNA QUINTERO";"QUINTERO";"05- REGION DE VALPARAÍSO";"-32.7746420568618";"-71.53227211883998"
"203-60";"DANIEL ZAMORA SIN NUMERO COMUNA QUINTERO";"QUINTERO";"05- REGION DE VALPARAÍSO";"-32.79330378188971";"-71.52953171586117"
"39-22";"HERMANOS CARRERA SIN NUMERO LOTE 1 COMUNA QUINTERO";"QUINTERO";"05- REGION DE VALPARAÍSO";"-32.77458851031271";"-71.53263382508094"
"218-66";"VENTANA QUINTERO SIN NUMERO COMUNA PUCHUNCAVI";"PUCHUNCAVI";"05- REGION DE VALPARAÍSO";"-32.746948826276494";"-71.47530525931896"
"216-78";"VENTANA A QUINTERO COMUNA PUCHUNCAVI";"PUCHUNCAVI";"05- REGION DE VALPARAÍSO";"-32.747668743930355";"-71.47819379915362"
"620-128";"AVENIDA EL PERAL RUTA G-98-F SIN NUMERO COMUNA EL TABO";"EL TABO";"05- REGION DE VALPARAÍSO";"-33.50181193042025";"-71.60678563872129"
"313-6";"ERRAZURIZ SIN NUMERO COMUNA EL TABO";"EL TABO";"05- REGION DE VALPARAÍSO";"-33.45372288440353";"-71.67262440808992"
"650-124";"FRANCISCO PALAU SITIO 3 COMUNA EL TABO";"EL TABO";"05- REGION DE VALPARAÍSO";"-33.46289389018197";"-71.65390930048122"
"335-34/335-9";"DAGOBERTO GODOY SIN NUMERO LOTE 1-A LOTE 1-B LOTE 2 LOTE 3-A LOTE 3-B COMUNA EL TABO";"EL TABO";"05- REGION DE VALPARAÍSO";"-33.4922528830735";"-71.63364438859207"
"670-264 Y 670-265";"ARMANDO CELIS SIN NUMERO LOTES NUMEROS 1, 2, 3, 5, 6 Y 7 COMUNA EL TABO";"EL TABO";"05- REGION DE VALPARAÍSO";"-33.45116811596235";"-71.66408749092342"
"70-21";"NEPTUNO SIN NUMERO COMUNA EL QUISCO";"EL QUISCO";"05- REGION DE VALPARAÍSO";"-33.394219224115";"-71.70106079677137"
"3233-3";"DIEZ 484 MANZANA 22 LOTE A COMUNA CONCON";"CONCON";"05- REGION DE VALPARAÍSO";"-32.92233979464788";"-71.51295777744095"
"3456-19";"COSTANERA SIN NUMERO COMUNA CONCON";"CONCON";"05- REGION DE VALPARAÍSO";"-32.932453720170066";"-71.5381561068369"
"4303-6";"FERNANDO CALVO Y SEXTA Y SEPTIMA ORIENTE LOTES 1, 2, 3, 4 Y 5 COMUNA CARTAGENA";"CARTAGENA";"05- REGION DE VALPARAÍSO";"-33.52384197519885";"-71.59885274535662"
