REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;CONF;VALOR_UF;VALOR_USD
Metropolitana;PUDAHUEL;383-7;LA ESTRELLA ENTRE PASAJE MAR NEGRO Y OCEANO ATLANTICO LOTE A COMUNA PUDAHUEL;1095;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8760;372604
Antofagasta;SIERRA GORDA;6410-1;A 554 MT AL SURESTE DE AVENIDA SALVADOR ALLENDE BAQUEDANO COMUNA SIERRA GORDA;8752;CONCESION GRATUITA;2-posible;Norte (gruesa);8752;372264
Metropolitana;SANTIAGO;57-11;ALMIRANTE BARROSO 23 COMUNA SANTIAGO;250;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8750;372179
Metropolitana;SANTIAGO;3069-36;SIERRA BELLA 1352 COMUNA SANTIAGO;250;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8750;372179
Metropolitana;LA FLORIDA;796-56;LAS HIGUERAS COMUNA LA FLORIDA;625;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8750;372179
Valparaíso;SAN ANTONIO;8157-1;MERCEDES NORTE 1823 EX 162 COMUNA SAN ANTONIO;1091;..;1-disponible/recuperable;Centro (ref. mercado);8729;371286
Antofagasta;MEJILLONES;32-12;MANZANA 11 SITIO 6 COMUNA MEJILLONES;4363;CONCESION GRATUITA;2-posible;Norte (gruesa);8726;371158
Antofagasta;CALAMA;5301-7;LOTE 16 MANAZANA A 1 SECTOR PUERTO SECO COMUNA CALAMA;2908;ARRENDAMIENTO;2-posible;Norte (gruesa);8724;371073
Antofagasta;ANTOFAGASTA;442-2;CALLE ANGOL SIN NUMERO COMUNA ANTOFAGASTA;2176;CONCESION GRATUITA;2-posible;Norte (gruesa);8704;370222
Biobío;CORONEL;528-1;MILLABU ESQUINA PASAJE 1 MANZANA COMUNA CORONEL;1233;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);8630;367075
Antofagasta;CALAMA;5318-9;SITIO 6 B MANZANA C-2 SECTOR PUERTO SECO COMUNA CALAMA;2867;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);8601;365841
Antofagasta;MARIA ELENA;373-2;PUEBLO DE QUILLAGUA SIN NUMERO COMUNA MARIA ELENA;8500;CONCESION GRATUITA;2-posible;Norte (gruesa);8500;361545
Valparaíso;VILLA ALEMANA;SIN ROL;BAQUEDANO SIN NUMERO INTERIOR LOTE A-22 COMUNA VILLA ALEMANA;942;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8474;360439
Antofagasta;CALAMA;5301-16;LUIS CALLEJAS ROJAS SIN NUMERO SITIO 5 MANZANA A-1 SECTOR AMPLIACION PUERTO SECO COMUNA CALAM;2804;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);8412;357802
Metropolitana;NUNOA;5669-13;PEDRO LOBOS 666 COMUNA NUNOA;200;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8400;357292
Metropolitana;SAN BERNARDO;2523-12;SAN JOSE 840 Y 848 COMUNA SAN BERNARDO;1398;..;1-disponible/recuperable;Centro (ref. mercado);8388;356781
Antofagasta;ANTOFAGASTA;16142-12;SITIO 3-B MANZANA 33 LA CHIMBA ALTO COMUNA ANTOFAGASTA;2079;ARRENDAMIENTO;2-posible;Norte (gruesa);8316;353719
Antofagasta;ANTOFAGASTA;16095-11;SITIO 11 MANZANA 37 LA CHIMBA COMUNA ANTOFAGASTA;2074;ARRENDAMIENTO;2-posible;Norte (gruesa);8296;352868
Antofagasta;CALAMA;5303-1;LOTE 8 MANZANA C-1 PUERTO SECO COMUNA CALAMA;2760;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);8280;352188
Metropolitana;RECOLETA;2376-7;DESIDERIO LEMUS 0143 COMUNA RECOLETA;413;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8250;350912
Antofagasta;OLLAGUE;4100-65;A 700 MTS AL SURESTE DE LA LOCALIDAD DE OLLAGUE COMUNA OLLAGUE;16500;CONCESION GRATUITA;2-posible;Norte (gruesa);8250;350912
Antofagasta;ANTOFAGASTA;1836-2;CALLE PAIHUANO ESQUINA AVENIDA ESPANA COMUNA ANTOFAGASTA;2048;CONCESION GRATUITA;2-posible;Norte (gruesa);8192;348445
Biobío;PENCO;56-91;YERBAS BUENAS 30 REMODELACION LORD COCHRANE COMUNA PENCO;1020;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);8160;347083
Metropolitana;RECOLETA;4036-4;MUNOZ GAMERO 574 COMUNA RECOLETA;408;PERMISO OCUPACION;2-posible;Centro (ref. mercado);8152;346743
Antofagasta;CALAMA;5317-9;LUIS CALLEJA ROJAS SIN NUMERO SECTOR PUERTO SECO MANZANA A-2 LOTE 1 COMUNA CALAMA;2709;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);8127;345680
Antofagasta;CALAMA;5318-10;MARTIN VEGA PIZARRO SIN NUMERO SITIO 2B MANZANA C-2 SECTOR PUERTO SECO COMUNA CALAMA;2708;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);8124;345552
