ROL_SII;COMUNA;REG;ZONA;NOMBRE_ZONA;USO_PERMITIDO;USO_PROHIBIDO;FECHA_DO;DOCUMENTO;OBSERVACION;SECTOR;INSTRUMENTO
213-3;Pudahuel;RM;B;Zona B;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
212-4;Pudahuel;RM;B;Zona B;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
3534-5;San Bernardo;RM;ZU2;ZU2 Zona de Periferia Centro;"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio y social; actividad productiva inofensiva; infraestructura de transporte; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;13/06/2006;Decreto 3855;;San Bernardo;PRC_San_Bernardo
2559-13;Pudahuel;RM;B;Zona B;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
4636-1;San Bernardo;RM;ZU4;ZU4 Zona de La Vara;"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio y social; actividad productiva inofensiva; infraestructura de transporte; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;13/06/2006;Decreto 3855;;San Bernardo;PRC_San_Bernardo
12680-1;San Pedro De La Paz;BB;ZH-4;ZH-4 Zona residencial;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social.;Todos los usos de suelo no mencionados como permitidos.;Publicacion PRC San Pedro de la Paz. Decreto Alc. N°310. Fecha de promulgacion 10.03.2011. Fecha de publicacion D.O. 24.03.2011.;;;San Pedro de la Paz;PRC_San_Pedro_de_la_Paz
1590-3;Talcahuano;BB;ZH-8;ZH-8 Zona residencial;Residencial. Equipamiento: cientifico, comercio, culto y cultura, educacion, salud, seguridad, servicios, social. Area verde.;Todos los usos de suelo no mencionados como permitidos;31/01/2006;Decreto 247;;Talcahuano;PRC_Talcahuano
13062-2;San Pedro De La Paz;BB;ZH-5;ZH-5 Zona residencial;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas, bodegaje y talleres inofensivos.;Todos los usos de suelo no mencionados como permitidos.;Publicacion PRC San Pedro de la Paz. Decreto Alc. N°310. Fecha de promulgacion 10.03.2011. Fecha de publicacion D.O. 24.03.2011.;;;San Pedro de la Paz;PRC_San_Pedro_de_la_Paz
2752-1;Coronel;BB;;Area Potencialmente Inundable por Anegamiento;;;;;;Coronel;PRC_Coronel_Area_de_riesgo
137-71 Y 137-72;Concepcion;BB;C1;C1 Centro de servicios y equipamiento;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Centro metropolitano;PRC_Concepcion
321-145;Concepcion;BB;MC;MC Microcentro;Equipamiento: culto y cultura, educacion, salud, seguridad, servicios, social. Area verde.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Microcentro;PRC_Concepcion
