ROL_SII;COMUNA;REG;ZONA;NOMBRE_ZONA;USO_PERMITIDO;USO_PROHIBIDO;FECHA_DO;DOCUMENTO;OBSERVACION;SECTOR;INSTRUMENTO
3812-1;Santiago;RM;B;Zona B;"Residencial, vivienda y hospedaje; Equipamiento de todo tipo, con excepciones indicadas en a.2.1); Actividad productiva; Infraestructura de transporte y sanitaria, con excepciones; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
5110-1;San Joaquin;RM;ZU2a;Zona Residencial de Densidad Baja A;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; talleres, almacenaje y bodegaje calificados como inofensivos; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Equipamiento: comercio (algunas actividades), culto y cultura (algunas actividades), deporte (algunas actividades), educación (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje (molestas, contaminantes o insalubres y peligrosas); Infraestructura. El detal*";06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
1010-3;San Joaquin;RM;AVI (1);Parques Intercomunales 1;Corresponden a las áreas planificadas por el Plan Regulador Metropolitano de Santiago según lo señalado en su ordenanza, destinadas a áreas verdes de uso público, y regidas en conformidad a lo dispuesto en el artículo 59 de la Ley General de Urbanismo y Construcciones;;06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
2150-1;Independencia;RM;EQ;Zona EQ Equipamiento de Salud;"Equipamiento: científico, comercio, culto y cultura, educación, salud, servicios, social; área verde; espacio público. Para mayor detalle revisar ordenanza.";;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Independencia
12681-1;San Pedro De La Paz;BB;ZM-1;ZM-1 Zona mixta;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas.;Todos los usos de suelo no mencionados como permitidos.;Publicacion PRC San Pedro de la Paz. Decreto Alc. N°310. Fecha de promulgacion 10.03.2011. Fecha de publicacion D.O. 24.03.2011.;;;San Pedro de la Paz;PRC_San_Pedro_de_la_Paz
334-910 - 334-911 - 334-912;Padre Hurtado;RM;AV;Áreas Verdes;Áreas Verdes;Todos los no incluidos como permitidos.;04/02/2005;Resolución 92;;Padre Hurtado;PRC_Padre_Hurtado
2360-14/2360-19;Vina Del Mar;VA;V7;Zona V7;Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
2282-29, 2282-30, 2282-31 Y 2282-32;Vina Del Mar;VA;V7;Zona V7;Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
708-1;Vina Del Mar;VA;I;Zona I;Residencial (vivienda del cuidador). Equipamiento de: comercio, culto, cultura, deporte, seguridad, servicios. Actividades productivas inofensivas y/o molestas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
1107-1/1107-13/1107-14/1107-15/1107-16/1107-17;Valparaiso;VA;ZCHAB;Zona ZCHAB;Residencial. Equipamiento de: comercio, culto y cultura, deporte, salud, educación, turismo y esparcimiento, seguridad, servicios de utilidad pública. Actividades productivas inofensivas, infraestructura. Más detalle en Ordenanza.;Todos los no indicados como permitidos y específicamente de antenas y torres de telefonía celular.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
2466-461/2466-468/2466-469;Vina Del Mar;VA;V7;Zona V7;Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
6003-1;Valparaiso;VA;ZCH-DR;ZCH-DR;Residencial. Equipamiento de: comercio, oficinas, salud, educación, seguridad, comunitario y recreativo. Espacio público de áreas verdes y vialidad. Actividades productivas inofensivas.;Todos los no mencionados como permitidos.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
4303-6;Cartagena;VA;Z3;Zona Z3;Vivienda, equipamiento, industria y almacenamiento inofensivo.;Industria y almacenamiento molesto, insalubre y peligroso.;;;;Cartagena;PRC_Cartagena
8295-1;San Antonio;VA;ZM2;ZM2 Zona Mixta 2;Residencial, equipamiento: científico, comercial, deporte, educación, esparcimiento, salud, seguridad, social, servicio, infraestructura sanitaria y energética, área verde y espacio público. Para mayor especificación revisar Ordenan;Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.;;;;San Antonio;PRC_San_Antonio
2360-9;Vina Del Mar;VA;V7;Zona V7;Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.;Todos los no mencionados como permitidos.;17/12/1980;Decreto 329;;Viña del Mar;PRC_Vina_del_Mar
17-1/17-2;Valparaiso;VA;A1;Zona A1;"Tipo de actividades productivas: portuario, pesquero; bodegas inofensivas y molestas incluyendo acopio de contenedores; talleres artesanales inofensivos y molestos. Equipamiento de: comercio, oficinas y recreativo. Espacios públicos.";Todos los no mencionados como permitidos.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
3110-5;Valparaiso;VA;ZCHLF;Zona ZCHLF;Residencial. Equipamiento de: comercio, educación, culto y cultura, deporte, salud, seguridad y servicios. Actividades productivas inofensivas.. Infraestructura ya existente sin amplificaciones futuras. Espacio público y áreas verdes.;Equipamiento no mencionado como permitidos, actividades productivas molestas o peligrosas. Más detalle revisar Ordenanza.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
1319-1;Valparaiso;VA;ZEE;Zona ZEE;Equipamiento científico, deporte, cultura, esparcimiento, salud (sólo para Cementerio Municipal y Cementerios Parques). Espacio público y áreas verdes.;Todos los no mencionados como permitidos y expresamente la vivienda, salvo como habitación del propietario o cuidador. Actividades productivas como molestas, insalubres, contaminantes o peligrosas. Más detalle en Ordenanza.;17/04/1984;Decreto 26;;Valparaíso;PRC_Valparaiso
783-2;Quilpue;VA;ZR4;Habitacional, densidad media, baja altura;"Residencial: Vivienda, Hospedaje, Hogares de acogida; Equipamiento: Comercio, Culto y Cultura, Deporte, Educación, Salud, Seguridad, Servicios, Social; Infraestructura: Transporte; Espacio Público; Área Verde. Para ver en detalle las actividades pemitidas";Todos los no señalados como permitidos;26-07-2019;Decreto 2732;;Quilpué;PRC_Quilpue
