REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"05- REGION DE VALPARAÍSO";"SAN ANTONIO";"6815-8";"CAMILO HENRRIQUEZ NUMERO 230 EX NUMERO 17 COMUNA SAN ANTONIO";"3853";"..";"1-disponible/recuperable";"30822";"1311006"
"13- REGION METROPOLITANA";"SANTIAGO";"276-1";"BALMACEDA 1301 COMUNA SANTIAGO";"877";"..";"1-disponible/recuperable";"30682";"1305051"
"08- REGION DEL BIOBIO";"CONCEPCION";"1305-195";"AVENIDA LAGUNA REDONDA 2310 COMUNA CONCEPCION";"1695";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"30510";"1297735"
"13- REGION METROPOLITANA";"MAIPU";"6015-119";"PARQUE CENTRAL ORIENTE COMUNA MAIPU";"2017";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"28235";"1200968"
"08- REGION DEL BIOBIO";"SAN PEDRO DE LA PAZ";"13062-2";"CALLE EJERCITO 895 ESQUINA PASAJE CAPITAN TRIZANO COMUNA SAN PEDRO DE LA PAZ";"2000";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"28000";"1190973"
"05- REGION DE VALPARAÍSO";"VALPARAISO";"5160-338";"DOS SIN NUMERO COMUNA VALPARAISO";"1852";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"27780";"1181615"
"08- REGION DEL BIOBIO";"CORONEL";"2752-1";"LOS ALAMOS 2428 LAGUNILLAS 1 COMUNA CORONEL";"3954";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"27681";"1177404"
"13- REGION METROPOLITANA";"CERRO NAVIA";"4231-4";"SADO 7965 LOTE 1 COMUNA CERRO NAVIA";"3418";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"27344";"1163070"
"13- REGION METROPOLITANA";"SANTIAGO";"33-3";"MONEDA 1190 COMUNA SANTIAGO";"776";"PERMISO OCUPACION";"2-posible";"27158";"1155158"
"05- REGION DE VALPARAÍSO";"SAN ANTONIO";"9041-4";"ANTONIO NUNEZ FONCECA EX CAMINO SAN ANTONIO CARTAGENA LOTE 2-A COMUNA SAN ANTONIO";"3379";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"27030";"1149714"
"05- REGION DE VALPARAÍSO";"SAN ANTONIO";"6200-16";"MANUEL RODRIGUEZ ERDOIZA NUMERO 40 EX CALLE ENRIQUETA NUMERO ONCE COMUNA SAN ANTONIO";"3340";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"26719";"1136486"
"05- REGION DE VALPARAÍSO";"QUILPUE";"1297-1";"MARGA MARGA SIN NUMERO LOTE A COMUNA QUILPUE";"2216";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"26592";"1131084"
"05- REGION DE VALPARAÍSO";"VILLA ALEMANA";"313-957";"RIQUELME SIN NUMERO LOTE A-13 COMUNA VILLA ALEMANA";"2932";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"26388";"1122407"
"05- REGION DE VALPARAÍSO";"VILLA ALEMANA";"229-8";"BAQUEDANO 1151 LOTE 2 COMUNA VILLA ALEMANA";"2894";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"26044";"1107775"
"13- REGION METROPOLITANA";"LA GRANJA";"5271-1";"EL TABO 8220 COMUNA LA GRANJA";"2559";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"25590";"1088464"
"13- REGION METROPOLITANA";"LA REINA";"4705-11";"LOS PRUNOS 7211 SITIO 181 COMUNA LA REINA";"834";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"25020";"1064219"
"13- REGION METROPOLITANA";"NUNOA";"53-24";"JULIO ZEGERS 4223 MANZANA O LOTE 5 COMUNA NUNOA";"593";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"24885";"1058477"
"08- REGION DEL BIOBIO";"TALCAHUANO";"197-20";"BILBAO 246 COMUNA TALCAHUANO";"2070";"..";"1-disponible/recuperable";"24844";"1056733"
