id;rol;comuna;destino;ah;valor_m2_clp;rango_sup;avaluo_total_clp;lat;lon
"231";"2596-58";"";"";"";"0";"";"0";"";""
"232";"3335-15";"";"";"";"0";"";"0";"";""
"233";"698-94";"";"";"";"0";"";"0";"";""
"234";"1396-1";"";"";"";"0";"";"0";"";""
"235";"607-68";"";"";"";"0";"";"0";"";""
"236";"383-2";"";"";"";"0";"";"0";"";""
"237";"516-1";"";"";"";"0";"";"0";"";""
"238";"116-21";"";"";"";"0";"";"0";"";""
"239";"212-3";"";"";"";"0";"";"0";"";""
"240";"213-3";"";"";"";"0";"";"0";"";""
"241";"212-4";"";"";"";"0";"";"0";"";""
"242";"3534-5";"";"";"";"0";"";"0";"";""
"243";"2559-13";"";"";"";"0";"";"0";"";""
"244";"4636-1";"";"";"";"0";"";"0";"";""
"245";"12680-1";"";"";"";"0";"";"0";"";""
"246";"1590-3";"";"";"";"0";"";"0";"";""
"247";"13062-2";"";"";"";"0";"";"0";"";""
"248";"2752-1";"";"";"";"0";"";"0";"";""
"249";"137-71";"";"";"";"0";"";"0";"";""
"250";"321-145";"";"";"";"0";"";"0";"";""
"251";"1176-19";"";"";"";"0";"";"0";"";""
"252";"558-1";"";"";"";"0";"";"0";"";""
"253";"927-13";"";"";"";"0";"";"0";"";""
"254";"5260-3";"";"";"";"0";"";"0";"";""
"255";"14948-17";"";"";"";"0";"";"0";"";""
"256";"249-31";"";"";"";"0";"";"0";"";""
"257";"12016-1";"";"";"";"0";"";"0";"";""
"258";"190-10";"";"";"";"0";"";"0";"";""
"259";"1590-3";"";"";"";"0";"";"0";"";""
"260";"2833-2";"";"";"";"0";"";"0";"";""
"261";"1300-10";"";"";"";"0";"";"0";"";""
"262";"201-46";"";"";"";"0";"";"0";"";""
"263";"3040-81";"";"";"";"0";"";"0";"";""
"264";"5153-23";"";"";"";"0";"";"0";"";""
"265";"826-1";"";"";"";"0";"";"0";"";""
"266";"3416-20";"";"";"";"0";"";"0";"";""
"267";"915-14";"";"";"";"0";"";"0";"";""
"268";"1013-1";"";"";"";"0";"";"0";"";""
"269";"1310-2";"";"";"";"0";"";"0";"";""
"270";"1590-3";"";"";"";"0";"";"0";"";""
"271";"3613-107";"";"";"";"0";"";"0";"";""
"272";"3504-15";"";"";"";"0";"";"0";"";""
"273";"2984-3";"";"";"";"0";"";"0";"";""
"274";"6308-5";"";"";"";"0";"";"0";"";""
"275";"223-81";"";"";"";"0";"";"0";"";""
"276";"651-23";"";"";"";"0";"";"0";"";""
"277";"3220-227";"";"";"";"0";"";"0";"";""
"278";"6407-203";"";"";"";"0";"";"0";"";""
"279";"109-726";"";"";"";"0";"";"0";"";""
"280";"17-68";"";"";"";"0";"";"0";"";""
"281";"2709-17";"";"";"";"0";"";"0";"";""
"282";"126-373";"";"";"";"0";"";"0";"";""
"283";"105-4";"";"";"";"0";"";"0";"";""
"284";"648-90";"";"";"";"0";"";"0";"";""
"285";"2148-23";"";"";"";"0";"";"0";"";""
"286";"27957-25";"";"";"";"0";"";"0";"";""
"287";"9369-6";"";"";"";"0";"";"0";"";""
"288";"2031-2";"";"";"";"0";"";"0";"";""
"289";"291-44";"";"";"";"0";"";"0";"";""
"290";"5581-6";"";"";"";"0";"";"0";"";""
"291";"4755-45";"";"";"";"0";"";"0";"";""
"292";"79-6";"";"";"";"0";"";"0";"";""
"294";"87-94";"";"";"";"0";"";"0";"";""
"295";"35-9";"";"";"";"0";"";"0";"";""
"296";"210-58";"";"";"";"0";"";"0";"";""
"297";"227-146";"";"";"";"0";"";"0";"";""
"298";"14-16";"";"";"";"0";"";"0";"";""
"299";"1194-13";"";"";"";"0";"";"0";"";""
"300";"159-14";"";"";"";"0";"";"0";"";""
"301";"401-92";"";"";"";"0";"";"0";"";""
"302";"917-11";"";"";"";"0";"";"0";"";""
"304";"5281-12";"";"";"";"0";"";"0";"";""
"305";"601-13";"";"";"";"0";"";"0";"";""
"306";"1414-23";"";"";"";"0";"";"0";"";""
"307";"7018-13";"";"";"";"0";"";"0";"";""
"308";"917-9";"";"";"";"0";"";"0";"";""
"309";"54-70";"";"";"";"0";"";"0";"";""
"310";"593-5";"";"";"";"0";"";"0";"";""
"311";"3066-15";"";"";"";"0";"";"0";"";""
"312";"608-22";"";"";"";"0";"";"0";"";""
"313";"7329-31";"";"";"";"0";"";"0";"";""
"314";"2065-33";"";"";"";"0";"";"0";"";""
"315";"283-16";"";"";"";"0";"";"0";"";""
"316";"2571-13";"";"";"";"0";"";"0";"";""
"317";"74-81";"";"";"";"0";"";"0";"";""
"318";"3500-22";"";"";"";"0";"";"0";"";""
"319";"3752-7";"";"";"";"0";"";"0";"";""
"320";"4564-20";"";"";"";"0";"";"0";"";""
"321";"3140-6";"";"";"";"0";"";"0";"";""
"322";"6133-217";"";"";"";"0";"";"0";"";""
"323";"4659-812";"";"";"";"0";"";"0";"";""
"324";"3159-5";"";"";"";"0";"";"0";"";""
"325";"1506-1";"";"";"";"0";"";"0";"";""
"326";"1089-1";"";"";"";"0";"";"0";"";""
"327";"775-2";"";"";"";"0";"";"0";"";""
"328";"2292-25";"";"";"";"0";"";"0";"";""
"329";"1050-122";"";"";"";"0";"";"0";"";""
"330";"90-6";"";"";"";"0";"";"0";"";""
"331";"3088-1";"";"";"";"0";"";"0";"";""
"332";"1001-13";"";"";"";"0";"";"0";"";""
"333";"2130-1";"";"";"";"0";"";"0";"";""
"334";"2223-21";"";"";"";"0";"";"0";"";""
"335";"218-66";"";"";"";"0";"";"0";"";""
"336";"2462-440";"";"";"";"0";"";"0";"";""
"337";"2466-462";"";"";"";"0";"";"0";"";""
"338";"8071-1";"";"";"";"0";"";"0";"";""
"339";"5160-338";"";"";"";"0";"";"0";"";""
"340";"9041-4";"";"";"";"0";"";"0";"";""
"341";"313-957";"";"";"";"0";"";"0";"";""
"342";"1239-1";"";"";"";"0";"";"0";"";""
"343";"2823-16";"";"";"";"0";"";"0";"";""
"344";"6217-4";"";"";"";"0";"";"0";"";""
"345";"3032-1";"";"";"";"0";"";"0";"";""
"346";"1112-149";"";"";"";"0";"";"0";"";""
"347";"2467-466";"";"";"";"0";"";"0";"";""
"348";"5117-3";"";"";"";"0";"";"0";"";""
"349";"39-22";"";"";"";"0";"";"0";"";""
"350";"7097-25";"";"";"";"0";"";"0";"";""
"351";"9300-560";"";"";"";"0";"";"0";"";""
"352";"2469-666";"";"";"";"0";"";"0";"";""
"354";"8501-17";"";"";"";"0";"";"0";"";""
"355";"3721-198";"";"";"";"0";"";"0";"";""
"356";"3920-1";"";"";"";"0";"";"0";"";""
"357";"2272-8";"";"";"";"0";"";"0";"";""
"358";"123-104";"";"";"";"0";"";"0";"";""
"359";"2170-17";"";"";"";"0";"";"0";"";""
"360";"3456-19";"";"";"";"0";"";"0";"";""
"361";"59-10";"";"";"";"0";"";"0";"";""
"362";"1062-14";"";"";"";"0";"";"0";"";""
"363";"37-132";"";"";"";"0";"";"0";"";""
"364";"1822-35";"";"";"";"0";"";"0";"";""
"365";"429-20";"";"";"";"0";"";"0";"";""
"366";"609-20";"";"";"";"0";"";"0";"";""
"367";"2222-10";"";"";"";"0";"";"0";"";""
"368";"2476-452";"";"";"";"0";"";"0";"";""
"369";"9300-433";"";"";"";"0";"";"0";"";""
"370";"4324-1";"";"";"";"0";"";"0";"";""
"371";"2415-2";"";"";"";"0";"";"0";"";""
"372";"1220-25";"";"";"";"0";"";"0";"";""
"373";"3362-15";"";"";"";"0";"";"0";"";""
"374";"1177-11";"";"";"";"0";"";"0";"";""
"375";"203-60";"";"";"";"0";"";"0";"";""
"376";"4122-6";"";"";"";"0";"";"0";"";""
"377";"4522-5";"";"";"";"0";"";"0";"";""
"378";"9332-129";"";"";"";"0";"";"0";"";""
"379";"2222-8";"";"";"";"0";"";"0";"";""
"380";"801-407";"";"";"";"0";"";"0";"";""
"381";"550-25";"";"";"";"0";"";"0";"";""
"382";"29-15";"";"";"";"0";"";"0";"";""
"383";"416-11";"";"";"";"0";"";"0";"";""
"384";"8220-18";"";"";"";"0";"";"0";"";""
"385";"348-45";"";"";"";"0";"";"0";"";""
"386";"206-13";"";"";"";"0";"";"0";"";""
"387";"351-24";"";"";"";"0";"";"0";"";""
"388";"543-11";"";"";"";"0";"";"0";"";""
"389";"3353-29";"";"";"";"0";"";"0";"";""
"390";"3624-33";"";"";"";"0";"";"0";"";""
"391";"3624-35";"";"";"";"0";"";"0";"";""
"392";"8008-9";"";"";"";"0";"";"0";"";""
"393";"348-75";"";"";"";"0";"";"0";"";""
"394";"725-1";"";"";"";"0";"";"0";"";""
"395";"34-41";"";"";"";"0";"";"0";"";""
"396";"570-25";"";"";"";"0";"";"0";"";""
