REGION;ROL;NOMBRE;COMUNA;LAT;LON
"Antofagasta";"3413-2";"SITIO 1 MANZANA N PUEBLO DE OLLGUE COMUNA OLLAGUE";"OLLAGUE";"-21.226211694194703";"-68.25348548672338"
"Antofagasta";"4100-68";"RUTA 21 CH KILOMETROS 178000 - KILOMETROS 193000 COMUNA OLLAGUE";"OLLAGUE";"-21.326410927342177";"-68.27866711316996"
"Antofagasta";"3426-1";"LOTE A SIN NUMERO PUEBLO DE OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.225394232898147";"-68.25563062365588"
"Antofagasta";"3419-2";"SITIO 1 MANZANA C COMUNA OLLAGUE";"OLLAGUE";"-21.225095605656016";"-68.25589671796249"
"Antofagasta";"3414-1";"PUEBLO DE OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.22326112655792";"-68.24934139566778"
"Antofagasta";"3429-2";"MANZANA P SITIO 1 PUEBLO OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.224165547453175";"-68.2547763061709"
"Antofagasta";"3419-11";"SITIO 5 MANZANA C PUEBLO DE OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.22435813330255";"-68.25597496007533"
"Antofagasta";"3453-5";"ASCOTAN A 52 KILOMETROS AL SUR DE LA LOCALIDAD DE OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.69558066945829";"-68.25010101299013"
"Antofagasta";"3419-3";"SITIO 2 MANZANA C COMUNA OLLAGUE";"OLLAGUE";"-21.22500838684528";"-68.25572245787711"
"Antofagasta";"NO ENROLADO";"BARRERA FITOSANITARIA INTERNACIONAL COMUNA OLLAGUE";"OLLAGUE";"-21.223418448891053";"-68.25003312492964"
"Antofagasta";"4100-71";"PLANTA DE ALCANTARILLADO DEL POBLADO DE OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.229894611054657";"-68.24867716791674"
"Antofagasta";"4100-65";"A 700 MTS AL SURESTE DE LA LOCALIDAD DE OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.231907581584483";"-68.2515429947854"
"Antofagasta";"3434-1";"PUEBLO DE OLLAGUE SIN NUMERO COMUNA OLLAGUE";"OLLAGUE";"-21.22588401901937";"-68.25132556190752"
"Antofagasta";"590-17";"APROX A 5 KM AL SURESTE DE LA CIUDAD DE MEJILLONES LOTE A COMUNA DE MEJILLONES";"MEJILLONES";"-23.14019823879185";"-70.37908922816375"
"Antofagasta";"3545-387";"SITIO 15 MANZANA I VILLA SOLOR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.939106455339175";"-68.18454360213224"
"Antofagasta";"3443-6";"SITIO 6 MANZANA D POBLACION LICANCABUR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.91498837563631";"-68.19236450898988"
"Antofagasta";"1037-5";"LOTE A CIUDAD DE ANTOFAGASTA COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-23.644816362283006";"-70.38962794642116"
"Antofagasta";"1037-4";"LOTE B CIUDAD DE ANTOFAGASTA COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-23.64499394009249";"-70.389832194979"
"Antofagasta";"3411-10";"SITIO 7 MANZANA L PUEBLO OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.225144426700354";"-68.25152028859627"
"Antofagasta";"3416-5";"PUEBLO DE OLLAGUE SITIO 5 MANZANA J COMUNA OLLAGUE";"OLLAGUE";"-21.224093709498373";"-68.2506940440147"
"Antofagasta";"590-18";"APROX A 5 KM AL SURESTE DE LA CIUDAD DE MEJILLONES LOTE B COMUNA DE MEJILLONES";"MEJILLONES";"-23.14780661174608";"-70.38863795320907"
"Antofagasta";"3419-12";"SITIO 4 MANZANA C PUEBLO DE OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.22459513930989";"-68.25616139213635"
"Antofagasta";"3429-3";"MANZANA P SITIO 2 COMUNA OLLAGUE";"OLLAGUE";"-21.223961340907056";"-68.25463578038782"
"Antofagasta";"3515-139";"LOTE 3 AYLLO DE CONDE DUQUE COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.91191202758461";"-68.19623606809292"
"Antofagasta";"3515-166";"AYLLO CONDE DUQUE COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.902766653852538";"-68.2032794954361"
"Antofagasta";"4103-18";"SITIO 4 MANZANA C POBLACION ALTO JAMA COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.9115366465239";"-68.19459210575118"
"Antofagasta";"4504-5";"MANZANA E SITIO 9 LOTEO VILLA ALTO MIRADOR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.91068120659968";"-68.19251893380931"
"Antofagasta";"3614-1";"SITIO 12 MANZANA L CALLE HUAYTIQUINA S/N LOCALIDAD DE TOCONAO COMUNA DE SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-23.19168754891767";"-68.00637548981186"
"Antofagasta";"3452-7";"SITIO 7 MANZANA H POBLACION PUNTA DE DIAMANTE LOCALIDAD DE SAN PEDRO DE ATACAMA COMUNA SAN PE";"SAN PEDRO DE ATACAMA";"-22.91512419644512";"-68.195761029235"
"Antofagasta";"3575-34";"COSTADO SUR DE RUTA B-245 KM 30 COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.713843687874824";"-68.00478781106442"
"Antofagasta";"4504-14";"MANZANA E SITIO 16 LOTEO VILLA ALTO MIRADOR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.91097999129871";"-68.19238040597514"
"Antofagasta";"10001-1";"RUTA 27-CH SAN PEDRO DE ATACAMA-PASO JAMA COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.91339733685953";"-68.19050130501782"
"Antofagasta";"6000-1";"RUTA 27 CH CON RUTA B-241 COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.914487201531834";"-68.19121909787773"
"Antofagasta";"4100-2";"CALLE SOCAIRE COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.91230244151803";"-68.1949968534618"
"Antofagasta";"3748-17";"CALLE PEDRO LAGOS PUEBLO DE CAMAR COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-23.406811186273323";"-67.96003135209627"
"Antofagasta";"3560-95";"PARTE DEL SITIO 51 EX ESCUELA DE COYO AYLLO DE COYO COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.95432931928949";"-68.23312356953262"
"Antofagasta";"4302-6";"SITIO 6 MANZANA C SECTOR ADUANA COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.906703846726188";"-68.19302648545187"
