ROL_SII;COMUNA;REG;__CAPA;__SERVICIO;Región;Comuna;Nombre;Instrumento;Administrador;Fecha publicación Diario Oficial;N° documento;Tipo documento;Localidad;Zona;Uso permitido;Uso prohibido;Nombre de zona;Fecha publicación en DO;Número de documento;Tipo de documento;Observación;Capa;Barrio;Nombre zona;Diario Oficial;Código único territorial;Sector;Diario oficial;Código Único Territorial;Documento;Normativa;LOC;ZONA;NOM;UPERM;UPROH;P_DO;N_DOC;T_DO;OBS
"5110-1";"San Joaquin";"RM";"PRC_San_Joaquín";"PRC_RM_Sur";"Metropolitana";"San Joaquín";"";"";"";"";"";"";"San Joaquín";"ZU2a";"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; talleres, almacenaje y bodegaje calificados como inofensivos; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Equipamiento: comercio (algunas actividades), culto y cultura (algunas actividades), deporte (algunas actividades), educación (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje (molestas, contaminantes o insalubres y peligrosas); Infraestructura. El detal*";"Zona Residencial de Densidad Baja A";"06/11/2019";"2838";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1010-3";"San Joaquin";"RM";"PRC_San_Joaquín";"PRC_RM_Sur";"Metropolitana";"San Joaquín";"";"";"";"";"";"";"San Joaquín";"AVI (1)";"Corresponden a las áreas planificadas por el Plan Regulador Metropolitano de Santiago según lo señalado en su ordenanza, destinadas a áreas verdes de uso público, y regidas en conformidad a lo dispuesto en el artículo 59 de la Ley General de Urbanismo y Construcciones";"";"Parques Intercomunales 1";"06/11/2019";"2838";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2150-1";"Independencia";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Recoleta";"Límite urbano de Recoleta";"Plan Regulador Comunal de Recoleta";"Municipalidad de Recoleta";"08/01/2005";"104";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12681-1";"San Pedro De La Paz";"BB";"PRC_San_Pedro_de_la_Paz";"PRC_Biobio";"Biobío";"San Pedro de la Paz";"";"";"";"";"";"";"";"ZM-1";"Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas.";"Todos los usos de suelo no mencionados como permitidos.";"";"";"";"";"";"PRC San Pedro de la Paz";"";"ZM-1 Zona mixta";"Publicacion PRC San Pedro de la Paz. Decreto Alc. N°310. Fecha de promulgacion 10.03.2011. Fecha de publicacion D.O. 24.03.2011.";"08108";"San Pedro de la Paz";"";"";"";"";"";"";"";"";"";"";"";"";""
"334-910 - 334-911 - 334-912";"Padre Hurtado";"RM";"PRC_Padre_Hurtado";"PRC_RM_Sur";"Metropolitana";"Padre Hurtado";"";"";"";"";"";"";"Padre Hurtado";"AV";"Áreas Verdes";"Todos los no incluidos como permitidos.";"Áreas Verdes";"04/02/2005";"92";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2360-14/2360-19";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"V7";"Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.";"Todos los no mencionados como permitidos.";"Zona V7";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2282-29, 2282-30, 2282-31 Y 2282-32";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"V7";"Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.";"Todos los no mencionados como permitidos.";"Zona V7";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"708-1";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"I";"Residencial (vivienda del cuidador). Equipamiento de: comercio, culto, cultura, deporte, seguridad, servicios. Actividades productivas inofensivas y/o molestas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.";"Todos los no mencionados como permitidos.";"Zona I";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1107-1/1107-13/1107-14/1107-15/1107-16/1107-17";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZCHAB";"Residencial. Equipamiento de: comercio, culto y cultura, deporte, salud, educación, turismo y esparcimiento, seguridad, servicios de utilidad pública. Actividades productivas inofensivas, infraestructura. Más detalle en Ordenanza.";"Todos los no indicados como permitidos y específicamente de antenas y torres de telefonía celular.";"Zona ZCHAB";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2466-461/2466-468/2466-469";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"V7";"Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.";"Todos los no mencionados como permitidos.";"Zona V7";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6003-1";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZCH-DR";"Residencial. Equipamiento de: comercio, oficinas, salud, educación, seguridad, comunitario y recreativo. Espacio público de áreas verdes y vialidad. Actividades productivas inofensivas.";"Todos los no mencionados como permitidos.";"ZCH-DR";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4303-6";"Cartagena";"VA";"PRC_Cartagena";"PRC_Valpara%C3%ADso";"Valparaíso";"Cartagena";"";"";"";"";"";"";"";"Z3";"Vivienda, equipamiento, industria y almacenamiento inofensivo.";"Industria y almacenamiento molesto, insalubre y peligroso.";"Zona Z3";"";"";"";"";"PRC Cartagena";"";"";"";"";"Cartagena";"";"05603";"";"";"";"";"";"";"";"";"";"";""
"8295-1";"San Antonio";"VA";"PRC_San_Antonio";"PRC_Valpara%C3%ADso";"Valparaíso";"San Antonio";"";"";"";"";"";"";"";"ZM2";"Residencial, equipamiento: científico, comercial, deporte, educación, esparcimiento, salud, seguridad, social, servicio, infraestructura sanitaria y energética, área verde y espacio público. Para mayor especificación revisar Ordenan";"Todos los usos de suelo no mencionados como permitidos. Para mayor especificación se debe revisar la Ordenanza de dicho instrumento de planificación territorial.";"ZM2 Zona Mixta 2";"";"";"";"";"PRC San Antonio";"";"";"";"";"San Antonio";"";"05601";"";"";"";"";"";"";"";"";"";"";""
"2360-9";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"V7";"Residencial. Equipamiento de: comercio, culto, cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, salud. Actividades productivas inofensivas. Infraestructura, espacio público y áreas verdes. Más detalle en Ordenanza.";"Todos los no mencionados como permitidos.";"Zona V7";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17-1/17-2";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"A1";"Tipo de actividades productivas: portuario, pesquero; bodegas inofensivas y molestas incluyendo acopio de contenedores; talleres artesanales inofensivos y molestos. Equipamiento de: comercio, oficinas y recreativo. Espacios públicos.";"Todos los no mencionados como permitidos.";"Zona A1";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3110-5";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZCHLF";"Residencial. Equipamiento de: comercio, educación, culto y cultura, deporte, salud, seguridad y servicios. Actividades productivas inofensivas.. Infraestructura ya existente sin amplificaciones futuras. Espacio público y áreas verdes.";"Equipamiento no mencionado como permitidos, actividades productivas molestas o peligrosas. Más detalle revisar Ordenanza.";"Zona ZCHLF";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1319-1";"Valparaiso";"VA";"PRC_Valparaiso";"PRC_Valpara%C3%ADso";"Valparaíso";"Valparaíso";"";"";"";"";"";"";"Valparaíso";"ZEE";"Equipamiento científico, deporte, cultura, esparcimiento, salud (sólo para Cementerio Municipal y Cementerios Parques). Espacio público y áreas verdes.";"Todos los no mencionados como permitidos y expresamente la vivienda, salvo como habitación del propietario o cuidador. Actividades productivas como molestas, insalubres, contaminantes o peligrosas. Más detalle en Ordenanza.";"Zona ZEE";"17/04/1984";"26";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"783-2";"Quilpue";"VA";"PRC_Quilpue";"PRC_Valpara%C3%ADso";"Valparaíso";"Quilpué";"";"";"";"";"2732";"";"";"ZR4";"Residencial: Vivienda, Hospedaje, Hogares de acogida; Equipamiento: Comercio, Culto y Cultura, Deporte, Educación, Salud, Seguridad, Servicios, Social; Infraestructura: Transporte; Espacio Público; Área Verde. Para ver en detalle las actividades pemitidas";"Todos los no señalados como permitidos";"";"";"";"";"";"PRC Quilpué";"";"Habitacional, densidad media, baja altura";"";"";"Quilpué";"26-07-2019";"05801";"Decreto";"";"";"";"";"";"";"";"";"";""
"1502-593";"Vina Del Mar";"VA";"PRC_Vina_del_Mar";"PRC_Valpara%C3%ADso";"Valparaíso";"Viña del Mar";"";"";"";"";"";"";"Viña del Mar";"AV";"Espacio público, áreas verdes (parques, plazas y jardines).";"Todo tipo de uso residencial y además todos los no mencionados como permitidos.";"Zona AV";"17/12/1980";"329";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
